Id_bien;Type_bien ;No_voie;Type_de_voie;Voie;Code_type_de_voie;Code_voie;id_Commune
26124;Appartement;25;GR;GRANDE RUE;6;450;95306
26125;Appartement;34;RUE;DE LA BERTHIE;0;280;9518
26126;Appartement;25;RUE;GEORGES CLEMENCEAU;0;960;95306
26127;Appartement;23;RUE;DES ROSES;0;4610;9518
26128;Appartement;27;AV;FOCH;1;500;9518
26129;Appartement;16;RUE;FRANCOIS TRUFFAUT;0;493;9518
26130;Appartement;71;AV;JEAN JAURES;1;2800;95306
26131;Appartement;4;RES;DE BRETAGNE;18;A003;9518
26132;Appartement;17;RUE;DES DESERTS;0;1700;9518
26133;Appartement;19;RUE;ERNESTINE;0;2000;9518
26134;Appartement;16;AV;FOCH;1;460;9563
26135;Appartement;69;RUE;ALFRED LABRIERE;0;100;9563
26136;Appartement;21;AV;CAMILLE CLAUDEL;1;174;95424
26137;Appartement;1;RUE;GUSTAVE CAILLEBOTTE;0;2499;9518
26138;Appartement;83;RUE;ANTONIN G BELIN;0;250;9518
26139;Appartement;6;RES;CROIX BLANCHE;18;A410;95424
26140;Appartement;5;RUE;ROBERT BRANCHARD;0;1750;95306
26141;Appartement;66;RUE;EDOUARD VAILLANT;0;610;9518
26142;Appartement;2;PL;FRANCOIS RABELAIS;12;2223;9518
26143;Appartement;25;RUE;HENRI BARBUSSE;0;2560;95424
26144;Appartement;23;AV;DU MARECHAL FOCH;1;3400;9563
